,Course ID,Subject,Number,Title,Description
10,60,ACCO,400,Accounting Theory,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




"
11,86,ACCO,420,Financial Reporting III,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




"
12,89,ACCO,425,FINANCIAL REPORTING IV,Please see UGRD Calendar
13,92,ACCO,430,Advanced Management Accounting,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




"
14,97,ACCO,435,STRAT ACCTNG CASE ANALYSIS,Please see UGRD Calendar
15,98,ACCO,440,Advanced Taxation,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




"
16,104,ACCO,450,Assurance Services,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




"
17,106,ACCO,455,Fraud Prevention and Investigation,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
18,109,ACCO,465,Advanced Assurance Services,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
19,173,ACCO,631,BUSINESS ADVISORY SERVICES,Please see GRAD Calendar
20,174,ACCO,635,INTEGRATED APPROACH TO AUDIT,Please see GRAD Calendar
21,178,ACCO,651,FINANCIAL REPORTING:COMP APP,Please see GRAD Calendar
22,182,ACCO,672,MANAGEMENT ACCOUNTING II,Please see GRAD Calendar
23,185,ACCO,681,FINAN L ACCO G/REPORT G III,Please see GRAD Calendar
24,186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,Please see GRAD Calendar
25,187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,Please see GRAD Calendar
26,189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,Please see GRAD Calendar
27,190,ACCO,691,BUSINESS VALUATIONS,Please see GRAD Calendar
28,191,ACCO,695,SEMINAR IN SPECIAL TOPICS,Please see GRAD Calendar
29,235,ACTU,256,Mathematics of Finance,"Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
Prerequisite: MATH 264 previously or concurrently; and permission of the Department.
NOTE: Students who have received credit for MATH 326 may not take this course for credit.
NOTE: Only three credits will be awarded from ACTU 256; MAST 335.


"
30,236,ACTU,257,Actuarial Mathematics I,"Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
Prerequisite: ACTU 256.
NOTE: Students who have received credit for MATH 327 may not take this course for credit.



"
31,237,ACTU,286,Actuarial Mathematics Lab I,"This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 229 may not take this course for credit.



"
32,238,ACTU,357,Actuarial Mathematics II,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.
Prerequisite: ACTU 257.
NOTE: Students who have received credit for MATH 427 may not take this course for credit.



"
33,239,ACTU,386,Actuarial Mathematics Lab II,"This lab will feature the use of programming languages and software applications.

NOTE: Students who have received credit for MATH 232 may not take this course for credit.



"
34,241,ACTU,457,Risk Theory,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.

NOTE: Students who have received credit for MATH 428 may not take this course for credit."
35,242,ACTU,458,Credibility Theory,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.
Prerequisite: ACTU 457; STAT 349 previously or concurrently.




"
36,243,ACTU,459,Loss Distributions,"Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
Prerequisite: ACTU 457; STAT 360.




"
37,244,ACTU,486,Actuarial Mathematics Lab III,"This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 429 may not take this course for credit.



"
38,245,ACTU,493,Honours Project in Actuarial Mathematics,"Specific topics for this course, and prerequisites relevant in each case, will be stated in the Undergraduate Class Schedule.





"
39,246,ADED,201,Concepts and Principles of Adult Education,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
40,247,ADED,202,The Scope and Nature of Adult Education Programs,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
41,248,ADED,220,Adults as Learners,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult's self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.





"
42,253,ADED,344,Design of Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.

NOTE: Students who have received credit for ADED 340 or 341 or 343 may not take this course for credit.



"
43,254,ADED,345,Evaluating Adult Learning Projects,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.

NOTE: Students who have received credit for ADED 342 or 343 may not take this course for credit.



"
44,257,ADED,403,Diversity in Adults,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.

NOTE: Students who have received credit for this topic under an ADED 498 number may not take this course for credit.



"
45,260,ADED,440,ISSUES IN THE PRACTICE,Please see UGRD Calendar
46,273,ADED,496,Integrative Internship I,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.
Prerequisite: ADED 201; ADED 202 and 15 credits in the program.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.
NOTE: Students will normally enrol in ADED 496 near the end of their program.


"
47,274,ADED,497,Integrative Internship II,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.
Prerequisite: Successful completion of ADED 496.
NOTE: Students who have received credit for ADED 495 may not take this course for credit."
48,277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,
49,316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,Please see GRAD Calendar
50,317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,Please see GRAD Calendar
51,318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,Please see GRAD Calendar
52,319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,Please see GRAD Calendar
53,320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,Please see GRAD Calendar
54,323,ADIP,520,ADULTS AS LEARNERS,Please see GRAD Calendar
55,325,ADIP,533,FACILITATING ADULT LEARNING,Please see GRAD Calendar
56,326,ADIP,540,INTRODUCTION TO RESEARCH,Please see GRAD Calendar
57,327,ADIP,541,DESIGNING ADULT LRN.PROJECTS,Please see GRAD Calendar
58,328,ADIP,542,EVAL ADULT LEARNING PROJECTS,Please see GRAD Calendar
59,329,ADIP,544,SCHOOL AND SOCIETY,Please see GRAD Calendar
60,333,ADIP,572,CONCEPTS & VALUES IN ADED,Please see GRAD Calendar
61,334,ADIP,580,READING COURSE,Please see GRAD Calendar
62,335,ADIP,581,READING COURSE,Please see GRAD Calendar
63,337,ADIP,590,ISSUES IN THE PRACTICE,Please see GRAD Calendar
64,345,ADIP,598,SPECIAL TOPICS IN ADED II,Please see GRAD Calendar
65,360,ADMI,201,Introduction to Administration (Administered by the Finance Department),"This course is intended to develop a basic understanding of the role of administration in our society. The course includes a survey of different forms of organizations, their social and legal responsibilities, and how they function to achieve their goals.

NOTE: JMSB students may not take this course for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.


"
66,361,ADMI,202,Perspective on Canadian Business (Administered by the Finance Department),"This course is designed to review the historical development of business in Canada and to examine the relationships between the firm (management) and the owners, the employees, the customers, the government, and the community. Further, it studies some of the problems facing Canadian business today: the dehumanizing aspect, pollution problems, large vs. small firms, foreign ownership, and competition.

NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for this course may not take MANA 369 for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.

"
67,384,ADMI,543,SPECIAL TOPICS-INSTIT ADMIN,Please see GRAD Calendar
68,409,ADMI,810,ORGANIZATIONAL BEHAVIOUR,Please see GRAD Calendar
69,428,ADMI,811,ORGANIZATIONAL BEHAVIOUR,Please see GRAD Calendar
70,448,ADMI,820,DESC & M.I.S.,Please see GRAD Calendar
71,505,ADMI,830,MARKETING,Please see GRAD Calendar
72,522,ADMI,831,MARKETING,Please see GRAD Calendar
73,537,ADMI,831R,MARKETING MEAN'G/MANAGEMNT/BRANDS,Please see GRAD Calendar
74,547,ADMI,840,FINANCE,Please see GRAD Calendar
75,586,ADMI,850,BUSINESS POLICY & STRATEGY,Please see GRAD Calendar
76,605,ADMI,851,BUSINESS POLICY & STRATEGY,Please see GRAD Calendar
77,627,ADMI,852,BUSINESS POLICY/STRATEGY,Please see GRAD Calendar
78,649,ADMI,853,BUSINESS POLICY AND STRATEGY,Please see GRAD Calendar
79,650,ADMI,860,ACCOUNTANCY & CONTROL,Please see GRAD Calendar
80,676,ADMI,870,RESEARCH METHODOLOGY IN MANA,Please see GRAD Calendar
81,677,ADMI,880,PEDAGOGICAL METHODS,Please see GRAD Calendar
82,679,ADMI,889,COMPREHENSIVE EXAMINATIONS,Please see GRAD Calendar
83,680,ADMI,890,THESIS,Please see GRAD Calendar
84,705,AERO,417,STNDRDS/REGUL N/CERTIF N,Please see UGRD Calendar
85,706,AERO,431,PRINCIPLES OF AEROELASTICITY,Please see UGRD Calendar
86,707,AERO,462,TURBOMACHINERY+PROPULSION,Please see UGRD Calendar
87,708,AERO,464,AERODYNAMICS,Please see UGRD Calendar
88,709,AERO,465,GAS TURBINE DESIGN,Please see UGRD Calendar
89,710,AERO,480,FLIGHT CONTROL SYSTEMS,Please see UGRD Calendar
90,711,AERO,482,AVIONIC NAVIGATION SYSTEMS,Please see UGRD Calendar
91,712,AERO,483,INTEGR. OF AVIONIC SYSTEMS,Please see UGRD Calendar
92,713,AERO,486,AIRCRAFT STRESS ANALYSIS,Please see UGRD Calendar
93,714,AERO,487,DESIGN OF AIRCRAFT STRUCTURE,Please see UGRD Calendar
94,715,AHSC,215,Historical Foundations of Leisure and Recreation,"This course offers a broad overview of leisure and recreation throughout history, highlighting selected major patterns and important similarities or differences among different historical eras Students learn about threaded themes related to leisure and recreation that have existed throughout history, as well as the origin and development of leisure/recreation-related systems, such as leisure services and leisure studies, emphasizing Canadian and North American perspectives The historical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life as shaped by historical events are investigated

NOTE: Students who have received credit for HIST 215 or for this topic under an AHSC 298 number may not take this course for credit



"
95,716,AHSC,220,LIFESPAN GROWTH&DEVELOP.,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from
conception to death. Students learn about theories of human development, with an emphasis on typical normative development,
and on application of theory to practice. The course material covers key issues in development, major milestones of development,
and major life events.

NOTE: Students who have received credit for PSYC 230 may not take this course for credit.

NOTE: Students registered in a Psychology program may not take this course for credit."
96,717,AHSC,225,Principles of Experiential & Action Learning & the Reflective Practitioner,"This course introduces students to the ways in which theories of learning (including
experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies."
97,718,AHSC,230,Interpersonal Communication and Relationships,"This course is designed to provide knowledge and skill in building and maintaining interpersonal relationships characterized by mutual understanding and respect. Students can expect to enhance their understanding of themselves and their personal styles. The course focuses on effective communication behaviour. Students can expect to improve their abilities to attend to verbal and non?verbal communication; exchange constructive feedback with others; address and deal constructively with conflict; and communicate across differences, such as gender and race. Conceptual perspectives include the contextual influences in
relationship dynamics and the role of affect in interpersonal communication. The course also examines value considerations"
98,719,AHSC,232,WORKING IN TASK GROUPS,"Prerequisite: AHSC 230. This course is an introduction to understanding interaction and developmental processes of small groups and skill?building for effective participation. It enables students to learn frameworks for observing a group?s process, member roles that facilitate positive group processes and task accomplishment, and models of intervention in small groups. The course provides opportunities for students to integrate the theory they learn with their experiences in a task group."
99,720,AHSC,241,RECREATION AND LEISURE IN CONTEMPORARY SOCIETY,"This course introduces students to the theories and relationships of play, perceptions of free and discretionary time, concepts of leisure, and the historical foundations for the discipline. The concepts are presented as integral components of today?s lifestyle. In addition, the organized recreation system is examined, with an introduction to the leisure services delivery system. The students also examine the role that leisure plays in current societal issues."
100,721,AHSC,242,RECREATION/LEISURE IN CANADA,
101,726,AHSC,260,"PROGRAM PLANNING, DESIGN AND EVALUATION","The course prepares students to construct effective interactive programs designed for specific client populations. Using program design principles and practices, students match learning activities to desired program outcomes, while considering participant qualities and contextual features. Emphasis is placed on assessment, design, and evaluation knowledge and skills."
102,727,AHSC,270,Introduction to Human Relations Theory and Research,"This course is an introduction to general systems theory and change from an interventionist
perspective, as well as an orientation to various unique human systems. It focuses on understanding applied social science research and examines general strategies of intervention and salient models of practice, exposing students to varied domains of application. The course also features attention to values and ethical issues associated with
specific practice and intervention strategies and the role of social justice and anti-oppressive approaches."
103,728,AHSC,281,INTRODUCTION TO THERAPEUTIC RECREATION,"An examination of the fundamental concepts of therapeutic recreation. Included is the study of the historical foundations and the basic terminology, purposes, and theories of therapeutic recreation."
104,729,AHSC,285,Social Psychology of Leisure,"This course examines how personal and social factors shape individuals' perceptions, experiences, and responses to the availability of discretionary time Students review current theory and research focusing on the relationship between leisure and individual functioning, and applications to human problems associated with leisure
Prerequisite: AHSC 241 previously or concurrently
NOTE: Students who have received credit for PSYC 286 or for this topic under an AHSC 298 number may not take this course for credit



"
105,737,AHSC,310,TOURISM IN CANADA,"This course presents an examination of the tourism industry in Canada, including concepts, research, practices, and promotion. Topics covered include destination motivation, commercial recreation, business travel, trends in tourism development, government agencies, the economics of promotion, social objectives, market segmentation, and ethical and legal considerations."
106,738,AHSC,311,RESPECTING DIVERSITY IN HUMAN RELATIONS,"This course examines theories of diversity and difference, as well as the effects of biases, stereotypes and stigmatization in personal interactions, institutional practices, and socio?cultural norms. It considers the role of identity?related issues such as age, culture, disability, ethnicity, gender, geographical location, health status, history, language, power, race, religion, sexual orientation, and social class in human relationships and systems.

NOTE: Students who have received credit for AHSC 245 may not take this course for credit."
107,739,AHSC,312,SEXUALITY IN HUMAN RELATIONS,"This course provides students with knowledge of physical and psychosocial aspects of sexuality in relationships through life and examines values, attitudes, and issues related to the development and expression of sexuality. Topics include gender, family, cultural and media influences; historically and culturally based attitudes; prevention and sexually transmitted diseases; self?perception and identity in sexuality; and emotion and sexuality. The course aims to foster respect for persons and diversity.

NOTE: Students who have received credit for AHSC 253 may not take this course for credit."
108,740,AHSC,313,FAMILY COMMUNICATION,"This course is a requirement for students enrolled in the Certificate in Family Life Education. This course is an examination of patterns, effective approaches, and issues in communication among persons in primary partnerships and families. It also explores topics such as diversity in forms of ?family,? decision?making, problem?solving, power relations, gender issues, managing differences in expectations, and the influences of cultural, social, and economic contexts.

NOTE: Students who have received credit for AHSC 254 may not take this course for credit."
109,741,AHSC,314,ADOLESCENCE: ISSUES AND INTERVENTION,"Prerequisite: AHSC 220. This course links knowledge of adolescent development to a more detailed examination of related adolescent patterns and issues, including peer relations and friendship, parental and family relations, identity, sexuality and gender, and socio?economic and cultural influences. Directed towards students interested in working with adolescents, the course combines theoretical and practical knowledge relating to adolescents, their parents and their concerns for the purpose of enhancing the adolescent experience."
110,742,AHSC,315,INTERVIEWING,"Prerequisite: AHSC 230. This course reviews different forms and concepts relevant to interviewing for use in work and community settings. It examines communication influences on the interviewer and interviewee and the limitations of different interview approaches. It enables students to structure and design interviews, to build rapport, and to manage information flow.

NOTE: Students who have received credit for AHSC 256 may not take this course for credit."
111,743,AHSC,316,ADULTHOOD: PATTERNS AND TRANSITIONS,"Prerequisite: AHSC 220. This course examines relationships, transitions, and developmental change through early adulthood and middle age. Relevant adult development theories are reviewed. Students explore the nature and significance of close relationships, life transitions, choices and contextual influences. This course includes a consideration of the societal values inherent in notions of maturity, optimal environments, and interventions to enhance quality of life."
112,744,AHSC,319,OLDER ADULTHOOD: ISSUES AND INTERVENTION,"Prerequisite: AHSC 220. This course explores developmental change patterns and differences among people in older adulthood. Topics include retirement and pensions, concepts of health, fitness, well?being and models of health care, housing and transportation, leisure, family and social relations, ethnicity and aging, loss and grief, death and dying. Designed for persons interested in working with older adults, the course fosters awareness of myths, stereotypes and ageism, and emphasizes an attention to community social support and interventions which are enabling."
113,745,AHSC,320,Family and Youth Legislation,"This course reviews all aspects of federal and provincial legislation that impact on practice with families. Legislation governing marriage, divorce and custody, family violence, child and youth protection and placement, youth crime, child advocacy and the challenges of working with families in relation to the legislation, are presented with a particular focus on the rights of children and the legal responsibilities of practitioners."
114,746,AHSC,322,FUNDAMENTALS OF CHILD - AND YOUTH-CARE WORK,"Prerequisite: AHSC 220. The objectives of this course are to provide students with an understanding of the scope and status of child? and youth?care work, to sensitize them to the necessary competencies and daily challenges of this work in a range of
settings, and to review relevant theory. An overview of the history of the field is provided, as well as a review of seminal writings and recent literature on best practices.

NOTE: Students who have received credit for AHSC 402 or for this topic under an AHSC 398 number may not take this course for credit."
115,747,AHSC,323,GENDER AND LEISURE,"Prerequisite: 30 university credits including AHSC 241 or 242. This course focuses on theory and empirical research concerning the relationships between gender and leisure. This includes topics such as the effect of gender on leisure meanings, constraints to leisure, and participation in leisure. In addition, this course explores the cultural influences of leisure related to gender identity and gender relations. As part of this, the course explores the role that leisure plays as a significant site for the social construction and contestation of gender. Emphasis is placed on understanding ways in which gender relations and gender role expectations affect
and are affected by leisure."
116,748,AHSC,330,Leadership and Facilitation in Small Groups,"This course develops facilitative skills and approaches to leadership in small groups. Students learn effective ways to observe and to interpret the significance of group behaviour for the purpose of intervening effectively. It introduces students to program design theory for human and social service organizations and program design principles and practices relevant to small group learning.The course highlights factors optimizing participation, patterns of communication and influence, decision-making, problem-solving, collaborative planning, conflict management, and effects of gender and other identity-related differences. Students identify their leadership styles and group facilitation skills to develop flexibility in adapting to diverse group situations."
117,749,AHSC,333,LEISURE AND THE ENVIRONMENT,"Prerequisite: 30 university credits including AHSC 241 or 242. This course examines the state of the natural environment, and explains how leisure service providers play a crucial leadership role in fulfilling the needs of both the public and the environment."
118,750,AHSC,335,Power and Conflict Resolution in Human Systems,"This course gives students a theoretical and practical overview of the role of power and conflict in human relationships and human systems ? groups, organizations, and communities. The concept of power is explored in depth since the use of power is central in both the creation and the resolution of conflict. The course focuses on the development of analytical tools that serve to identify the different elements leading to, maintaining or escalating conflicts. Particular attention is given to ethics associated with the use of power and management of conflict."
119,752,AHSC,350,LEISURE EDUCATION,"Prerequisite: AHSC 241, 260. This course offers an introduction to the field of leisure education. The history and underlying philosophy of the concept is presented. The roles of the school, community, and community?serving agencies are examined. Existing models are analyzed and discussed."
120,754,AHSC,355,FOUNDATIONS OF FAMILY LIFE EDUCATION,"This course examines Family Life Education from its inception as a field of practice to its current status in North America. It highlights complex related issues and the role of the educator, including attention to personal values and ethical principles of the practitioner. Topics include distinctions between prevention education and therapeutic intervention, and an overview of the range of different family life education programs and current practices."
121,755,AHSC,360,"PLAY, ADULT LEARNING AND DEVELOPMENT","Prerequisite: 30 university credits including AHSC 220. This course examines the concept of play in adult learning and development. Gender, age, ethnic and social class diversity are explored as they relate to adult play behaviour."
122,756,AHSC,361,LEISURE SERVICES LEADERSHIP,"Prerequisite: AHSC 230, 241. This course offers an analysis of leadership theory and its application to leisure services. Major topics are the principles and practices of leadership, group dynamics, leadership skill development and program planning, and the unique role of the leisure leader."
123,757,AHSC,370,Organizational Development and Change: Models and Methods,"The focus of this course is on the practice of human system intervention from a pragmatic as well as a theoretical perspective. The course emphasizes collaborative strategies for effecting change in human systems within a broad range of intervention alternatives. It focuses on the interventionist?s role in effective change strategy development, initiation, management, and evaluation. The course is taught with a special focus on personal and professional values and ethical issues related to human systems intervention."
124,758,AHSC,371,COMMUNITY RECREATION PLANNING,"Prerequisite: AHSC 241, 260. The course focuses on the application of recreation planning, theory, and skills. It examines methods and procedures used to assess client needs, design and deliver programs and services, and evaluate their impact.
Practical experience is gained through a combination of field experience, project planning, and group work."
125,760,AHSC,380,QUANTITATIVE RESEARCH METHODS FOR PRACTITIONERS,"This course gives an overview of a range of data collection and analysis strategies which are relevant to collaborative and participative intervention practice. It examines practical considerations for selecting specific quantitative approaches and prepares students to formulate and administer intervention?related questionnaires, to conduct basic quantitative analyses, and to present data results to interested individuals and groups. The course also examines basic ethical requirements in conducting applied social research."
126,761,AHSC,381,Concepts in Therapeutic Recreation Programming,"Prerequisite: AHSC 241, 260, 281. This course explores current therapeutic recreation practices with emphasis on rehabilitation in community and clinical settings such as hospitals, group homes, psychiatric centres, rehabilitation clinics, and correctional centres. Leisure planning and assessment models are studied to identify the modes of recreational activity which may be used as an intervention."
127,762,AHSC,382,QUALITATIVE RESEARCH METHODS FOR PRACTITIONERS,"This course gives an overview of a range of qualitative approaches to practical projects and interventions.It prepares students to design and conduct interviews (including making decisions about respondent selection) with individuals and in focus groups, as well as participant observation. It also enables students to analyze qualitative data from these sources as well as documentary sources in light of practical project purposes. The course highlights special ethical considerations in conducting qualitative forms of applied social research."
128,763,AHSC,383,Therapeutic Recreation and Physical Disabilities,"Prerequisite: AHSC 220, 281. This course gives an overview of the role and impact of therapeutic recreation services for individuals with physical disabilities and limitations. It analyzes the bar­riers to recreation participation along with the planning and designing of a safe and accessible recreational environment."
129,764,AHSC,384,Therapeutic Recreation: Cognitive Disabilities and Illness,"Prerequisite: AHSC 220, 281. This course gives an overview of the role of therapeutic recreation services for individuals with cognitive disabilities and limitations or illness. It focuses on the etiology, impact, and barriers related to specific conditions. It also studies legislation trends and resources for community recreation integration and the role of transitional programs."
130,784,AHSC,422,YOUTH AND LEISURE,"Prerequisite: 30 university credits including AHSC 220, 241, 260. This course develops an understanding of the leisure needs of youth from emotional, physical, psychological, and sociological perspectives. Major areas of discussion include leisure preferences and needs assessment, strategies for programming, dealing with youth?at?risk, and recreational opportunities for youth. Lectures and laboratory."
131,785,AHSC,423,ORGANIZATION DEVELOPMENT I,"Prerequisite: AHSC 270, 330. This course introduces students to the characteristics of organizations as open systems. The evolution of organization development and the principle theories and perspectives that have helped to define the field are studied. Organization development methods as well as criteria for examining organizational effectiveness, underlying beliefs, values, and assumptions are examined. Key concepts covered are organization vision, mission and goals, and organization norms and culture.

NOTE: Students who have received credit for AHSC 420 may not take this course for credit."
