Course ID,Description
60,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




"
86,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




"
89,Please see UGRD Calendar
92,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




"
97,Please see UGRD Calendar
98,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




"
104,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




"
106,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



"
109,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
173,Please see GRAD Calendar
174,Please see GRAD Calendar
178,Please see GRAD Calendar
182,Please see GRAD Calendar
185,Please see GRAD Calendar
186,Please see GRAD Calendar
187,Please see GRAD Calendar
189,Please see GRAD Calendar
190,Please see GRAD Calendar
191,Please see GRAD Calendar
235,"Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
Prerequisite: MATH 264 previously or concurrently; and permission of the Department.
NOTE: Students who have received credit for MATH 326 may not take this course for credit.
NOTE: Only three credits will be awarded from ACTU 256; MAST 335.


"
236,"Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
Prerequisite: ACTU 256.
NOTE: Students who have received credit for MATH 327 may not take this course for credit.



"
237,"This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 229 may not take this course for credit.



"
238,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.
Prerequisite: ACTU 257.
NOTE: Students who have received credit for MATH 427 may not take this course for credit.



"
239,"This lab will feature the use of programming languages and software applications.

NOTE: Students who have received credit for MATH 232 may not take this course for credit.



"
241,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.

NOTE: Students who have received credit for MATH 428 may not take this course for credit."
242,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.
Prerequisite: ACTU 457; STAT 349 previously or concurrently.




"
243,"Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
Prerequisite: ACTU 457; STAT 360.




"
244,"This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 429 may not take this course for credit.



"
245,"Specific topics for this course, and prerequisites relevant in each case, will be stated in the Undergraduate Class Schedule.





"
246,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
247,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



"
248,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult's self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.





"
253,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.

NOTE: Students who have received credit for ADED 340 or 341 or 343 may not take this course for credit.



"
254,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.

NOTE: Students who have received credit for ADED 342 or 343 may not take this course for credit.



"
257,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.

NOTE: Students who have received credit for this topic under an ADED 498 number may not take this course for credit.



"
260,Please see UGRD Calendar
273,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.
Prerequisite: ADED 201; ADED 202 and 15 credits in the program.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.
NOTE: Students will normally enrol in ADED 496 near the end of their program.


"
274,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.
Prerequisite: Successful completion of ADED 496.
NOTE: Students who have received credit for ADED 495 may not take this course for credit."
277,
316,Please see GRAD Calendar
317,Please see GRAD Calendar
318,Please see GRAD Calendar
319,Please see GRAD Calendar
320,Please see GRAD Calendar
323,Please see GRAD Calendar
325,Please see GRAD Calendar
326,Please see GRAD Calendar
327,Please see GRAD Calendar
328,Please see GRAD Calendar
329,Please see GRAD Calendar
333,Please see GRAD Calendar
334,Please see GRAD Calendar
335,Please see GRAD Calendar
337,Please see GRAD Calendar
345,Please see GRAD Calendar
360,"This course is intended to develop a basic understanding of the role of administration in our society. The course includes a survey of different forms of organizations, their social and legal responsibilities, and how they function to achieve their goals.

NOTE: JMSB students may not take this course for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.


"
361,"This course is designed to review the historical development of business in Canada and to examine the relationships between the firm (management) and the owners, the employees, the customers, the government, and the community. Further, it studies some of the problems facing Canadian business today: the dehumanizing aspect, pollution problems, large vs. small firms, foreign ownership, and competition.

NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for this course may not take MANA 369 for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.

"
384,Please see GRAD Calendar
409,Please see GRAD Calendar
428,Please see GRAD Calendar
448,Please see GRAD Calendar
505,Please see GRAD Calendar
522,Please see GRAD Calendar
537,Please see GRAD Calendar
547,Please see GRAD Calendar
586,Please see GRAD Calendar
605,Please see GRAD Calendar
627,Please see GRAD Calendar
649,Please see GRAD Calendar
650,Please see GRAD Calendar
676,Please see GRAD Calendar
677,Please see GRAD Calendar
679,Please see GRAD Calendar
680,Please see GRAD Calendar
705,Please see UGRD Calendar
706,Please see UGRD Calendar
707,Please see UGRD Calendar
708,Please see UGRD Calendar
709,Please see UGRD Calendar
710,Please see UGRD Calendar
711,Please see UGRD Calendar
712,Please see UGRD Calendar
713,Please see UGRD Calendar
714,Please see UGRD Calendar
715,"This course offers a broad overview of leisure and recreation throughout history, highlighting selected major patterns and important similarities or differences among different historical eras Students learn about threaded themes related to leisure and recreation that have existed throughout history, as well as the origin and development of leisure/recreation-related systems, such as leisure services and leisure studies, emphasizing Canadian and North American perspectives The historical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life as shaped by historical events are investigated

NOTE: Students who have received credit for HIST 215 or for this topic under an AHSC 298 number may not take this course for credit



"
716,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from
conception to death. Students learn about theories of human development, with an emphasis on typical normative development,
and on application of theory to practice. The course material covers key issues in development, major milestones of development,
and major life events.

NOTE: Students who have received credit for PSYC 230 may not take this course for credit.

NOTE: Students registered in a Psychology program may not take this course for credit."
717,"This course introduces students to the ways in which theories of learning (including
experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies."
718,"This course is designed to provide knowledge and skill in building and maintaining interpersonal relationships characterized by mutual understanding and respect. Students can expect to enhance their understanding of themselves and their personal styles. The course focuses on effective communication behaviour. Students can expect to improve their abilities to attend to verbal and non?verbal communication; exchange constructive feedback with others; address and deal constructively with conflict; and communicate across differences, such as gender and race. Conceptual perspectives include the contextual influences in
relationship dynamics and the role of affect in interpersonal communication. The course also examines value considerations"
719,"Prerequisite: AHSC 230. This course is an introduction to understanding interaction and developmental processes of small groups and skill?building for effective participation. It enables students to learn frameworks for observing a group?s process, member roles that facilitate positive group processes and task accomplishment, and models of intervention in small groups. The course provides opportunities for students to integrate the theory they learn with their experiences in a task group."
720,"This course introduces students to the theories and relationships of play, perceptions of free and discretionary time, concepts of leisure, and the historical foundations for the discipline. The concepts are presented as integral components of today?s lifestyle. In addition, the organized recreation system is examined, with an introduction to the leisure services delivery system. The students also examine the role that leisure plays in current societal issues."
721,
726,"The course prepares students to construct effective interactive programs designed for specific client populations. Using program design principles and practices, students match learning activities to desired program outcomes, while considering participant qualities and contextual features. Emphasis is placed on assessment, design, and evaluation knowledge and skills."
727,"This course is an introduction to general systems theory and change from an interventionist
perspective, as well as an orientation to various unique human systems. It focuses on understanding applied social science research and examines general strategies of intervention and salient models of practice, exposing students to varied domains of application. The course also features attention to values and ethical issues associated with
specific practice and intervention strategies and the role of social justice and anti-oppressive approaches."
728,"An examination of the fundamental concepts of therapeutic recreation. Included is the study of the historical foundations and the basic terminology, purposes, and theories of therapeutic recreation."
729,"This course examines how personal and social factors shape individuals' perceptions, experiences, and responses to the availability of discretionary time Students review current theory and research focusing on the relationship between leisure and individual functioning, and applications to human problems associated with leisure
Prerequisite: AHSC 241 previously or concurrently
NOTE: Students who have received credit for PSYC 286 or for this topic under an AHSC 298 number may not take this course for credit



"
737,"This course presents an examination of the tourism industry in Canada, including concepts, research, practices, and promotion. Topics covered include destination motivation, commercial recreation, business travel, trends in tourism development, government agencies, the economics of promotion, social objectives, market segmentation, and ethical and legal considerations."
738,"This course examines theories of diversity and difference, as well as the effects of biases, stereotypes and stigmatization in personal interactions, institutional practices, and socio?cultural norms. It considers the role of identity?related issues such as age, culture, disability, ethnicity, gender, geographical location, health status, history, language, power, race, religion, sexual orientation, and social class in human relationships and systems.

NOTE: Students who have received credit for AHSC 245 may not take this course for credit."
739,"This course provides students with knowledge of physical and psychosocial aspects of sexuality in relationships through life and examines values, attitudes, and issues related to the development and expression of sexuality. Topics include gender, family, cultural and media influences; historically and culturally based attitudes; prevention and sexually transmitted diseases; self?perception and identity in sexuality; and emotion and sexuality. The course aims to foster respect for persons and diversity.

NOTE: Students who have received credit for AHSC 253 may not take this course for credit."
740,"This course is a requirement for students enrolled in the Certificate in Family Life Education. This course is an examination of patterns, effective approaches, and issues in communication among persons in primary partnerships and families. It also explores topics such as diversity in forms of ?family,? decision?making, problem?solving, power relations, gender issues, managing differences in expectations, and the influences of cultural, social, and economic contexts.

NOTE: Students who have received credit for AHSC 254 may not take this course for credit."
741,"Prerequisite: AHSC 220. This course links knowledge of adolescent development to a more detailed examination of related adolescent patterns and issues, including peer relations and friendship, parental and family relations, identity, sexuality and gender, and socio?economic and cultural influences. Directed towards students interested in working with adolescents, the course combines theoretical and practical knowledge relating to adolescents, their parents and their concerns for the purpose of enhancing the adolescent experience."
742,"Prerequisite: AHSC 230. This course reviews different forms and concepts relevant to interviewing for use in work and community settings. It examines communication influences on the interviewer and interviewee and the limitations of different interview approaches. It enables students to structure and design interviews, to build rapport, and to manage information flow.

NOTE: Students who have received credit for AHSC 256 may not take this course for credit."
743,"Prerequisite: AHSC 220. This course examines relationships, transitions, and developmental change through early adulthood and middle age. Relevant adult development theories are reviewed. Students explore the nature and significance of close relationships, life transitions, choices and contextual influences. This course includes a consideration of the societal values inherent in notions of maturity, optimal environments, and interventions to enhance quality of life."
744,"Prerequisite: AHSC 220. This course explores developmental change patterns and differences among people in older adulthood. Topics include retirement and pensions, concepts of health, fitness, well?being and models of health care, housing and transportation, leisure, family and social relations, ethnicity and aging, loss and grief, death and dying. Designed for persons interested in working with older adults, the course fosters awareness of myths, stereotypes and ageism, and emphasizes an attention to community social support and interventions which are enabling."
745,"This course reviews all aspects of federal and provincial legislation that impact on practice with families. Legislation governing marriage, divorce and custody, family violence, child and youth protection and placement, youth crime, child advocacy and the challenges of working with families in relation to the legislation, are presented with a particular focus on the rights of children and the legal responsibilities of practitioners."
746,"Prerequisite: AHSC 220. The objectives of this course are to provide students with an understanding of the scope and status of child? and youth?care work, to sensitize them to the necessary competencies and daily challenges of this work in a range of
settings, and to review relevant theory. An overview of the history of the field is provided, as well as a review of seminal writings and recent literature on best practices.

NOTE: Students who have received credit for AHSC 402 or for this topic under an AHSC 398 number may not take this course for credit."
747,"Prerequisite: 30 university credits including AHSC 241 or 242. This course focuses on theory and empirical research concerning the relationships between gender and leisure. This includes topics such as the effect of gender on leisure meanings, constraints to leisure, and participation in leisure. In addition, this course explores the cultural influences of leisure related to gender identity and gender relations. As part of this, the course explores the role that leisure plays as a significant site for the social construction and contestation of gender. Emphasis is placed on understanding ways in which gender relations and gender role expectations affect
and are affected by leisure."
748,"This course develops facilitative skills and approaches to leadership in small groups. Students learn effective ways to observe and to interpret the significance of group behaviour for the purpose of intervening effectively. It introduces students to program design theory for human and social service organizations and program design principles and practices relevant to small group learning.The course highlights factors optimizing participation, patterns of communication and influence, decision-making, problem-solving, collaborative planning, conflict management, and effects of gender and other identity-related differences. Students identify their leadership styles and group facilitation skills to develop flexibility in adapting to diverse group situations."
749,"Prerequisite: 30 university credits including AHSC 241 or 242. This course examines the state of the natural environment, and explains how leisure service providers play a crucial leadership role in fulfilling the needs of both the public and the environment."
750,"This course gives students a theoretical and practical overview of the role of power and conflict in human relationships and human systems ? groups, organizations, and communities. The concept of power is explored in depth since the use of power is central in both the creation and the resolution of conflict. The course focuses on the development of analytical tools that serve to identify the different elements leading to, maintaining or escalating conflicts. Particular attention is given to ethics associated with the use of power and management of conflict."
752,"Prerequisite: AHSC 241, 260. This course offers an introduction to the field of leisure education. The history and underlying philosophy of the concept is presented. The roles of the school, community, and community?serving agencies are examined. Existing models are analyzed and discussed."
754,"This course examines Family Life Education from its inception as a field of practice to its current status in North America. It highlights complex related issues and the role of the educator, including attention to personal values and ethical principles of the practitioner. Topics include distinctions between prevention education and therapeutic intervention, and an overview of the range of different family life education programs and current practices."
755,"Prerequisite: 30 university credits including AHSC 220. This course examines the concept of play in adult learning and development. Gender, age, ethnic and social class diversity are explored as they relate to adult play behaviour."
756,"Prerequisite: AHSC 230, 241. This course offers an analysis of leadership theory and its application to leisure services. Major topics are the principles and practices of leadership, group dynamics, leadership skill development and program planning, and the unique role of the leisure leader."
757,"The focus of this course is on the practice of human system intervention from a pragmatic as well as a theoretical perspective. The course emphasizes collaborative strategies for effecting change in human systems within a broad range of intervention alternatives. It focuses on the interventionist?s role in effective change strategy development, initiation, management, and evaluation. The course is taught with a special focus on personal and professional values and ethical issues related to human systems intervention."
758,"Prerequisite: AHSC 241, 260. The course focuses on the application of recreation planning, theory, and skills. It examines methods and procedures used to assess client needs, design and deliver programs and services, and evaluate their impact.
Practical experience is gained through a combination of field experience, project planning, and group work."
760,"This course gives an overview of a range of data collection and analysis strategies which are relevant to collaborative and participative intervention practice. It examines practical considerations for selecting specific quantitative approaches and prepares students to formulate and administer intervention?related questionnaires, to conduct basic quantitative analyses, and to present data results to interested individuals and groups. The course also examines basic ethical requirements in conducting applied social research."
761,"Prerequisite: AHSC 241, 260, 281. This course explores current therapeutic recreation practices with emphasis on rehabilitation in community and clinical settings such as hospitals, group homes, psychiatric centres, rehabilitation clinics, and correctional centres. Leisure planning and assessment models are studied to identify the modes of recreational activity which may be used as an intervention."
762,"This course gives an overview of a range of qualitative approaches to practical projects and interventions.It prepares students to design and conduct interviews (including making decisions about respondent selection) with individuals and in focus groups, as well as participant observation. It also enables students to analyze qualitative data from these sources as well as documentary sources in light of practical project purposes. The course highlights special ethical considerations in conducting qualitative forms of applied social research."
763,"Prerequisite: AHSC 220, 281. This course gives an overview of the role and impact of therapeutic recreation services for individuals with physical disabilities and limitations. It analyzes the bar­riers to recreation participation along with the planning and designing of a safe and accessible recreational environment."
764,"Prerequisite: AHSC 220, 281. This course gives an overview of the role of therapeutic recreation services for individuals with cognitive disabilities and limitations or illness. It focuses on the etiology, impact, and barriers related to specific conditions. It also studies legislation trends and resources for community recreation integration and the role of transitional programs."
784,"Prerequisite: 30 university credits including AHSC 220, 241, 260. This course develops an understanding of the leisure needs of youth from emotional, physical, psychological, and sociological perspectives. Major areas of discussion include leisure preferences and needs assessment, strategies for programming, dealing with youth?at?risk, and recreational opportunities for youth. Lectures and laboratory."
785,"Prerequisite: AHSC 270, 330. This course introduces students to the characteristics of organizations as open systems. The evolution of organization development and the principle theories and perspectives that have helped to define the field are studied. Organization development methods as well as criteria for examining organizational effectiveness, underlying beliefs, values, and assumptions are examined. Key concepts covered are organization vision, mission and goals, and organization norms and culture.

NOTE: Students who have received credit for AHSC 420 may not take this course for credit."
786,"This course provides students with the opportunity to apply organization development concepts and strategies to effect change in organizations. Using theoretical, case, and experiential approaches, the focus of instruction progressively guides the student through the stages of organization development. Concepts covered include entry and contracting, identifying organizational issues and goals for change, collecting and analyzing pertinent organizational data, and diagnosis and feedback to the client. Opportunities for the development of change?agent skills are provided through the emphasis on in?class applications.

NOTE: Students who have received credit for AHSC 420 may not take this course for credit."
787,"Prerequisite: 60 university credits including AHSC 361; AHSC 371 or 381. This course offers an analysis of the processes involved in planning and managing leisure service delivery systems. Topics to be studied include principles of planning, organization, budgeting, and supervision."
788,"Prerequisite: 60 university credits including AHSC 321, 361, 371, 385. This is a third-year interdisciplinary seminar in which students can tie together all they have learned in the Leisure Sciences program. Additionally, students are set on a course of study that should continue after they graduate so that they can keep up with future developments in this area."
789,"Prerequisite: 60 university credits including AHSC 321, 361, 381, 383, 384. This is a
third-year interdisciplinary seminar in which students can tie together all that they have learned in the Therapeutic Recreation program. Additionally, students are set on a course of study that should continue after they graduate so that they can keep up with future developments in this area."
790,"Prerequisite: AHSC 330. This course must be taken in final year. This course provides an opportunity for students to integrate theory into practice in the design, facilitation and evaluation of small group process. Students lead one small task or learning group in a community, an organizational or an institutional setting. The fieldwork is combined with class sessions for orientation, supervision, reflection and evaluation."
791,"This course is one of two internship options for students enrolled in the Specialization in Human Relations. This internship provides students with a supervised opportunity to apply learning from the BA Specialization in Human Relations to work with youth and families in a range of settings such as child welfare, schools, non?profit organizations, residential care, or outreach. The specific objectives are to teach about planning, education, and intervention in human service
work, to promote self?reflection as a critical component of ethical practice, and to provide a basis for further career planning and/or graduate work in youth and family practice.

NOTE: Students who have received credit for AHSC 439 or for this topic under an AHSC 499 number may not take this course for credit."
792,"Prerequisite: 60 university credits including AHSC 361, 371; permission of the Department. This course provides students with an opportunity to design, implement, and evaluate programs; to facilitate groups in a variety of settings; and to establish working relationships with field personnel. In consultation with their supervisors, students select a site related to their learning interests. Students learn to develop and manage their own project and to self?assess their work. The course includes fieldwork, seminars, and team meetings."
793,"Prerequisite: 60 university credits including AHSC 361, 381, 383, 384; permission of the Department. This course provides students with an opportunity to design, implement, and evaluate programs, to facilitate groups in a variety of settings, and to
establish working relationships with field personnel. In consultation with their supervisors, students select a site related to their learning interests. Students learn to develop and manage their own project and to self?assess their work. The course includes fieldwork, seminars, and team meetings."
794,"Thiscourse is one of two internship options for students enrolled in the Specialization in Human Relations. This course provides students with an opportunity to design, implement, and evaluate small group leadership in several settings, and to negotiate working relationships with site personnel. Students will be solely responsible for facilitating several task or learning groups in community, work, or educational settings. The sites will be selected according to students? learning interests and in consultation with the course instructor. The course includes supervisory team meetings and internship seminar sessions.

NOTE: Students who have received credit for AHSC 436 or for this topic under an AHSC 499 number may not take this course for credit."
796,"Prerequisite: AHSC 270, 330. This course examines the field of community development through the presentation of basic models. The examination of these models in historical and environmental contexts focuses on understanding how they reflect different views of social relationships. Students explore different approaches to working with communities and the implications for practice. They also examine ways of analyzing and defining community resources, problems, and issues.

NOTE: Students who have received credit for AHSC 440 may not take this course for credit."
797,"Prerequisite: 30 university credits including AHSC 220, 241, 260. This course examines the aging process in the physical, cognitive, and affective domains. It familiarizes the student with the characteristics of the aging population as related to leisure, recreation, and lifestyle. It focuses on developing and understanding the impact of lifelong leisure in the aging process. The course reviews issues related to the phenomenon of leisure in retirement and discusses the process of delivering leisure services to older individuals."
798,"This course focuses on how to intervene in community contexts; identify community structures and inter?group dynamics relevant to intervention planning; gather and organize data for use by communities; develop intervention plans that involve the community each step of the way and that foster leadership within its ranks; and evaluate an intervention. Attention is given to cultural diversity and value differences.

NOTE: Students who have received credit for AHSC 440 may not take this course for credit."
799,"Prerequisite: 30 university credits including AHSC 281. This course focuses on the use of assessment applied to individual leisure abilities, interests and needs, and the application of counselling theory to the field of leisure services. A variety of assessment tools are analyzed/interpreted. Theories, models, and methods of leisure counselling are discussed."
800,"Prerequisite: 30 university credits including AHSC 230. This course helps students to develop intervention skills and theoretical understanding in the area of health promotion. It is of particular interest to students whose career interests involve lifestyle planning, health promotion, and stress management. Topics include health and wellness, stress and illness, psychological and physical self?appraisal processes, psychosomatic processes and disorders, understanding addictions and their management, health?promotion interventions, behavioural self?management, and issues in medical/psychological health compliance."
801,"Prerequisite: 45 university credits including AHSC 232, 313, 380.
This course provides an advanced understanding of parenting theories, research, and applications in the context of parent-child relations over the life span. Topics include parenting rights and responsibilities, parenting practices and programs, high-risk parenting, and parental assessment.
NOTE: Students who have received credit for this topic under an AHSC 498 number may not take this course for credit"
802,"Prerequisite: 60 university credits including AHSC 330. This is an intensive format six?day learning session through which students may expect to increase their awareness of how their behaviour affects others, increase their skill and understanding of effectively and responsibly communicating to and exchanging feedback with others, increase their understanding of leadership and authority
relations, and deepen their understanding of group dynamics."
804,"Prerequisite: 30 university credits; permission of the Department. Students work on topics in consultation with a study supervisor. The study may include readings, field studies, and/or research."
805,Prerequisite: 30 university credits; permission of the Department. A student who has received credit for AHSC 490 may register for AHSC 491.
818,"This course explores the fundamental concepts and theories of case management and supervision as applied to youth work practice. Topics include supervisory relationship and process issues, self-care, ethical and professional considerations, leadership and mentoring relationships, multi-disciplinary teams and teamwork, managing change, debriefing in response to a crisis and developing, implementing and monitoring effective and collaborative case plans with young people and their families."
819,"This course provides an introduction to applied ethics in youth work with a focus on the Code of Ethics of the Ordre des psychoéducateurs et psychoéducatrices du Québec. It also reviews the policy, legislative and organizational contexts of the practice of psychoeducation and youth work, and considers the ways in which models of ethical decision making inform practice. Topics include confidentiality and information sharing in inter-professional contexts, balancing issues of control, empowerment and education, developing critical reflexivity, and appreciating the complexities and dilemmas inherent in youth work practice."
