CourseId,Title,Subject,Number,Description,seeAlso,Topic,Outline
318,EDUC.PROB/PHILOSOPH.PERSPECT,ADIP,511,Please see GRAD Calendar,,,
319,EDUC.PROB./HIST.PERSPECTIVE,ADIP,512,Please see GRAD Calendar,,,
320,ANTH CONCEPTS & METHODS-EDUC,ADIP,513,Please see GRAD Calendar,,,
323,ADULTS AS LEARNERS,ADIP,520,Please see GRAD Calendar,,,
325,FACILITATING ADULT LEARNING,ADIP,533,Please see GRAD Calendar,,,
326,INTRODUCTION TO RESEARCH,ADIP,540,Please see GRAD Calendar,,,
327,DESIGNING ADULT LRN.PROJECTS,ADIP,541,Please see GRAD Calendar,,,
328,EVAL ADULT LEARNING PROJECTS,ADIP,542,Please see GRAD Calendar,,,
329,SCHOOL AND SOCIETY,ADIP,544,Please see GRAD Calendar,,,
333,CONCEPTS & VALUES IN ADED,ADIP,572,Please see GRAD Calendar,,,
334,READING COURSE,ADIP,580,Please see GRAD Calendar,,,
335,READING COURSE,ADIP,581,Please see GRAD Calendar,,,
337,ISSUES IN THE PRACTICE,ADIP,590,Please see GRAD Calendar,,,
345,SPECIAL TOPICS IN ADED II,ADIP,598,Please see GRAD Calendar,,,
360,Introduction to Administration (Administered by the Finance Department),ADMI,201,"This course is intended to develop a basic understanding of the role of administration in our society. The course includes a survey of different forms of organizations, their social and legal responsibilities, and how they function to achieve their goals.

NOTE: JMSB students may not take this course for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.


",,,
361,Perspective on Canadian Business (Administered by the Finance Department),ADMI,202,"This course is designed to review the historical development of business in Canada and to examine the relationships between the firm (management) and the owners, the employees, the customers, the government, and the community. Further, it studies some of the problems facing Canadian business today: the dehumanizing aspect, pollution problems, large vs. small firms, foreign ownership, and competition.

NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for this course may not take MANA 369 for credit.
NOTE: This course does not count towards the requirements for the Minor in Business Studies.

",,,
384,SPECIAL TOPICS-INSTIT ADMIN,ADMI,543,Please see GRAD Calendar,,,
409,ORGANIZATIONAL BEHAVIOUR,ADMI,810,Please see GRAD Calendar,,,
428,ORGANIZATIONAL BEHAVIOUR,ADMI,811,Please see GRAD Calendar,,,
448,DESC & M.I.S.,ADMI,820,Please see GRAD Calendar,,,
505,MARKETING,ADMI,830,Please see GRAD Calendar,,,
522,MARKETING,ADMI,831,Please see GRAD Calendar,,,
537,MARKETING MEAN'G/MANAGEMNT/BRANDS,ADMI,831R,Please see GRAD Calendar,,,
547,FINANCE,ADMI,840,Please see GRAD Calendar,,,
586,BUSINESS POLICY & STRATEGY,ADMI,850,Please see GRAD Calendar,,,
605,BUSINESS POLICY & STRATEGY,ADMI,851,Please see GRAD Calendar,,,
627,BUSINESS POLICY/STRATEGY,ADMI,852,Please see GRAD Calendar,,,
649,BUSINESS POLICY AND STRATEGY,ADMI,853,Please see GRAD Calendar,,,
650,ACCOUNTANCY & CONTROL,ADMI,860,Please see GRAD Calendar,,,
676,RESEARCH METHODOLOGY IN MANA,ADMI,870,Please see GRAD Calendar,,,
677,PEDAGOGICAL METHODS,ADMI,880,Please see GRAD Calendar,,,
679,COMPREHENSIVE EXAMINATIONS,ADMI,889,Please see GRAD Calendar,,,
680,THESIS,ADMI,890,Please see GRAD Calendar,,,
705,STNDRDS/REGUL N/CERTIF N,AERO,417,Please see UGRD Calendar,,,
706,PRINCIPLES OF AEROELASTICITY,AERO,431,Please see UGRD Calendar,,,
707,TURBOMACHINERY+PROPULSION,AERO,462,Please see UGRD Calendar,,,
708,AERODYNAMICS,AERO,464,Please see UGRD Calendar,,,
709,GAS TURBINE DESIGN,AERO,465,Please see UGRD Calendar,,,
710,FLIGHT CONTROL SYSTEMS,AERO,480,Please see UGRD Calendar,,,
711,AVIONIC NAVIGATION SYSTEMS,AERO,482,Please see UGRD Calendar,,,
712,INTEGR. OF AVIONIC SYSTEMS,AERO,483,Please see UGRD Calendar,,,
713,AIRCRAFT STRESS ANALYSIS,AERO,486,Please see UGRD Calendar,,,
714,DESIGN OF AIRCRAFT STRUCTURE,AERO,487,Please see UGRD Calendar,,,
715,Historical Foundations of Leisure and Recreation,AHSC,215,"This course offers a broad overview of leisure and recreation throughout history, highlighting selected major patterns and important similarities or differences among different historical eras Students learn about threaded themes related to leisure and recreation that have existed throughout history, as well as the origin and development of leisure/recreation-related systems, such as leisure services and leisure studies, emphasizing Canadian and North American perspectives The historical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life as shaped by historical events are investigated

NOTE: Students who have received credit for HIST 215 or for this topic under an AHSC 298 number may not take this course for credit



",,,
716,LIFESPAN GROWTH&DEVELOP.,AHSC,220,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from
conception to death. Students learn about theories of human development, with an emphasis on typical normative development,
and on application of theory to practice. The course material covers key issues in development, major milestones of development,
and major life events.

NOTE: Students who have received credit for PSYC 230 may not take this course for credit.

NOTE: Students registered in a Psychology program may not take this course for credit.",,,
717,Principles of Experiential & Action Learning & the Reflective Practitioner,AHSC,225,"This course introduces students to the ways in which theories of learning (including
experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies.",,,
718,Interpersonal Communication and Relationships,AHSC,230,"This course is designed to provide knowledge and skill in building and maintaining interpersonal relationships characterized by mutual understanding and respect. Students can expect to enhance their understanding of themselves and their personal styles. The course focuses on effective communication behaviour. Students can expect to improve their abilities to attend to verbal and non?verbal communication; exchange constructive feedback with others; address and deal constructively with conflict; and communicate across differences, such as gender and race. Conceptual perspectives include the contextual influences in
relationship dynamics and the role of affect in interpersonal communication. The course also examines value considerations",,,
719,WORKING IN TASK GROUPS,AHSC,232,"Prerequisite: AHSC 230. This course is an introduction to understanding interaction and developmental processes of small groups and skill?building for effective participation. It enables students to learn frameworks for observing a group?s process, member roles that facilitate positive group processes and task accomplishment, and models of intervention in small groups. The course provides opportunities for students to integrate the theory they learn with their experiences in a task group.",,,
720,RECREATION AND LEISURE IN CONTEMPORARY SOCIETY,AHSC,241,"This course introduces students to the theories and relationships of play, perceptions of free and discretionary time, concepts of leisure, and the historical foundations for the discipline. The concepts are presented as integral components of today?s lifestyle. In addition, the organized recreation system is examined, with an introduction to the leisure services delivery system. The students also examine the role that leisure plays in current societal issues.",,,
721,RECREATION/LEISURE IN CANADA,AHSC,242,,,,
726,"PROGRAM PLANNING, DESIGN AND EVALUATION",AHSC,260,"The course prepares students to construct effective interactive programs designed for specific client populations. Using program design principles and practices, students match learning activities to desired program outcomes, while considering participant qualities and contextual features. Emphasis is placed on assessment, design, and evaluation knowledge and skills.",,,
727,Introduction to Human Relations Theory and Research,AHSC,270,"This course is an introduction to general systems theory and change from an interventionist
perspective, as well as an orientation to various unique human systems. It focuses on understanding applied social science research and examines general strategies of intervention and salient models of practice, exposing students to varied domains of application. The course also features attention to values and ethical issues associated with
specific practice and intervention strategies and the role of social justice and anti-oppressive approaches.",,,
728,INTRODUCTION TO THERAPEUTIC RECREATION,AHSC,281,"An examination of the fundamental concepts of therapeutic recreation. Included is the study of the historical foundations and the basic terminology, purposes, and theories of therapeutic recreation.",,,
729,Social Psychology of Leisure,AHSC,285,"This course examines how personal and social factors shape individuals' perceptions, experiences, and responses to the availability of discretionary time Students review current theory and research focusing on the relationship between leisure and individual functioning, and applications to human problems associated with leisure
Prerequisite: AHSC 241 previously or concurrently
NOTE: Students who have received credit for PSYC 286 or for this topic under an AHSC 298 number may not take this course for credit



",,,
737,TOURISM IN CANADA,AHSC,310,"This course presents an examination of the tourism industry in Canada, including concepts, research, practices, and promotion. Topics covered include destination motivation, commercial recreation, business travel, trends in tourism development, government agencies, the economics of promotion, social objectives, market segmentation, and ethical and legal considerations.",,,
738,RESPECTING DIVERSITY IN HUMAN RELATIONS,AHSC,311,"This course examines theories of diversity and difference, as well as the effects of biases, stereotypes and stigmatization in personal interactions, institutional practices, and socio?cultural norms. It considers the role of identity?related issues such as age, culture, disability, ethnicity, gender, geographical location, health status, history, language, power, race, religion, sexual orientation, and social class in human relationships and systems.

NOTE: Students who have received credit for AHSC 245 may not take this course for credit.",,,
739,SEXUALITY IN HUMAN RELATIONS,AHSC,312,"This course provides students with knowledge of physical and psychosocial aspects of sexuality in relationships through life and examines values, attitudes, and issues related to the development and expression of sexuality. Topics include gender, family, cultural and media influences; historically and culturally based attitudes; prevention and sexually transmitted diseases; self?perception and identity in sexuality; and emotion and sexuality. The course aims to foster respect for persons and diversity.

NOTE: Students who have received credit for AHSC 253 may not take this course for credit.",,,
740,FAMILY COMMUNICATION,AHSC,313,"This course is a requirement for students enrolled in the Certificate in Family Life Education. This course is an examination of patterns, effective approaches, and issues in communication among persons in primary partnerships and families. It also explores topics such as diversity in forms of ?family,? decision?making, problem?solving, power relations, gender issues, managing differences in expectations, and the influences of cultural, social, and economic contexts.

NOTE: Students who have received credit for AHSC 254 may not take this course for credit.",,,
741,ADOLESCENCE: ISSUES AND INTERVENTION,AHSC,314,"Prerequisite: AHSC 220. This course links knowledge of adolescent development to a more detailed examination of related adolescent patterns and issues, including peer relations and friendship, parental and family relations, identity, sexuality and gender, and socio?economic and cultural influences. Directed towards students interested in working with adolescents, the course combines theoretical and practical knowledge relating to adolescents, their parents and their concerns for the purpose of enhancing the adolescent experience.",,,
742,INTERVIEWING,AHSC,315,"Prerequisite: AHSC 230. This course reviews different forms and concepts relevant to interviewing for use in work and community settings. It examines communication influences on the interviewer and interviewee and the limitations of different interview approaches. It enables students to structure and design interviews, to build rapport, and to manage information flow.

NOTE: Students who have received credit for AHSC 256 may not take this course for credit.",,,
743,ADULTHOOD: PATTERNS AND TRANSITIONS,AHSC,316,"Prerequisite: AHSC 220. This course examines relationships, transitions, and developmental change through early adulthood and middle age. Relevant adult development theories are reviewed. Students explore the nature and significance of close relationships, life transitions, choices and contextual influences. This course includes a consideration of the societal values inherent in notions of maturity, optimal environments, and interventions to enhance quality of life.",,,
744,OLDER ADULTHOOD: ISSUES AND INTERVENTION,AHSC,319,"Prerequisite: AHSC 220. This course explores developmental change patterns and differences among people in older adulthood. Topics include retirement and pensions, concepts of health, fitness, well?being and models of health care, housing and transportation, leisure, family and social relations, ethnicity and aging, loss and grief, death and dying. Designed for persons interested in working with older adults, the course fosters awareness of myths, stereotypes and ageism, and emphasizes an attention to community social support and interventions which are enabling.",,,
745,Family and Youth Legislation,AHSC,320,"This course reviews all aspects of federal and provincial legislation that impact on practice with families. Legislation governing marriage, divorce and custody, family violence, child and youth protection and placement, youth crime, child advocacy and the challenges of working with families in relation to the legislation, are presented with a particular focus on the rights of children and the legal responsibilities of practitioners.",,,
746,FUNDAMENTALS OF CHILD - AND YOUTH-CARE WORK,AHSC,322,"Prerequisite: AHSC 220. The objectives of this course are to provide students with an understanding of the scope and status of child? and youth?care work, to sensitize them to the necessary competencies and daily challenges of this work in a range of
settings, and to review relevant theory. An overview of the history of the field is provided, as well as a review of seminal writings and recent literature on best practices.

NOTE: Students who have received credit for AHSC 402 or for this topic under an AHSC 398 number may not take this course for credit.",,,
747,GENDER AND LEISURE,AHSC,323,"Prerequisite: 30 university credits including AHSC 241 or 242. This course focuses on theory and empirical research concerning the relationships between gender and leisure. This includes topics such as the effect of gender on leisure meanings, constraints to leisure, and participation in leisure. In addition, this course explores the cultural influences of leisure related to gender identity and gender relations. As part of this, the course explores the role that leisure plays as a significant site for the social construction and contestation of gender. Emphasis is placed on understanding ways in which gender relations and gender role expectations affect
and are affected by leisure.",,,
748,Leadership and Facilitation in Small Groups,AHSC,330,"This course develops facilitative skills and approaches to leadership in small groups. Students learn effective ways to observe and to interpret the significance of group behaviour for the purpose of intervening effectively. It introduces students to program design theory for human and social service organizations and program design principles and practices relevant to small group learning.The course highlights factors optimizing participation, patterns of communication and influence, decision-making, problem-solving, collaborative planning, conflict management, and effects of gender and other identity-related differences. Students identify their leadership styles and group facilitation skills to develop flexibility in adapting to diverse group situations.",,,
749,LEISURE AND THE ENVIRONMENT,AHSC,333,"Prerequisite: 30 university credits including AHSC 241 or 242. This course examines the state of the natural environment, and explains how leisure service providers play a crucial leadership role in fulfilling the needs of both the public and the environment.",,,
750,Power and Conflict Resolution in Human Systems,AHSC,335,"This course gives students a theoretical and practical overview of the role of power and conflict in human relationships and human systems ? groups, organizations, and communities. The concept of power is explored in depth since the use of power is central in both the creation and the resolution of conflict. The course focuses on the development of analytical tools that serve to identify the different elements leading to, maintaining or escalating conflicts. Particular attention is given to ethics associated with the use of power and management of conflict.",,,
752,LEISURE EDUCATION,AHSC,350,"Prerequisite: AHSC 241, 260. This course offers an introduction to the field of leisure education. The history and underlying philosophy of the concept is presented. The roles of the school, community, and community?serving agencies are examined. Existing models are analyzed and discussed.",,,
754,FOUNDATIONS OF FAMILY LIFE EDUCATION,AHSC,355,"This course examines Family Life Education from its inception as a field of practice to its current status in North America. It highlights complex related issues and the role of the educator, including attention to personal values and ethical principles of the practitioner. Topics include distinctions between prevention education and therapeutic intervention, and an overview of the range of different family life education programs and current practices.",,,
755,"PLAY, ADULT LEARNING AND DEVELOPMENT",AHSC,360,"Prerequisite: 30 university credits including AHSC 220. This course examines the concept of play in adult learning and development. Gender, age, ethnic and social class diversity are explored as they relate to adult play behaviour.",,,
756,LEISURE SERVICES LEADERSHIP,AHSC,361,"Prerequisite: AHSC 230, 241. This course offers an analysis of leadership theory and its application to leisure services. Major topics are the principles and practices of leadership, group dynamics, leadership skill development and program planning, and the unique role of the leisure leader.",,,
757,Organizational Development and Change: Models and Methods,AHSC,370,"The focus of this course is on the practice of human system intervention from a pragmatic as well as a theoretical perspective. The course emphasizes collaborative strategies for effecting change in human systems within a broad range of intervention alternatives. It focuses on the interventionist?s role in effective change strategy development, initiation, management, and evaluation. The course is taught with a special focus on personal and professional values and ethical issues related to human systems intervention.",,,
758,COMMUNITY RECREATION PLANNING,AHSC,371,"Prerequisite: AHSC 241, 260. The course focuses on the application of recreation planning, theory, and skills. It examines methods and procedures used to assess client needs, design and deliver programs and services, and evaluate their impact.
Practical experience is gained through a combination of field experience, project planning, and group work.",,,
760,QUANTITATIVE RESEARCH METHODS FOR PRACTITIONERS,AHSC,380,"This course gives an overview of a range of data collection and analysis strategies which are relevant to collaborative and participative intervention practice. It examines practical considerations for selecting specific quantitative approaches and prepares students to formulate and administer intervention?related questionnaires, to conduct basic quantitative analyses, and to present data results to interested individuals and groups. The course also examines basic ethical requirements in conducting applied social research.",,,
761,Concepts in Therapeutic Recreation Programming,AHSC,381,"Prerequisite: AHSC 241, 260, 281. This course explores current therapeutic recreation practices with emphasis on rehabilitation in community and clinical settings such as hospitals, group homes, psychiatric centres, rehabilitation clinics, and correctional centres. Leisure planning and assessment models are studied to identify the modes of recreational activity which may be used as an intervention.",,,
762,QUALITATIVE RESEARCH METHODS FOR PRACTITIONERS,AHSC,382,"This course gives an overview of a range of qualitative approaches to practical projects and interventions.It prepares students to design and conduct interviews (including making decisions about respondent selection) with individuals and in focus groups, as well as participant observation. It also enables students to analyze qualitative data from these sources as well as documentary sources in light of practical project purposes. The course highlights special ethical considerations in conducting qualitative forms of applied social research.",,,
763,Therapeutic Recreation and Physical Disabilities,AHSC,383,"Prerequisite: AHSC 220, 281. This course gives an overview of the role and impact of therapeutic recreation services for individuals with physical disabilities and limitations. It analyzes the barÂ­riers to recreation participation along with the planning and designing of a safe and accessible recreational environment.",,,
764,Therapeutic Recreation: Cognitive Disabilities and Illness,AHSC,384,"Prerequisite: AHSC 220, 281. This course gives an overview of the role of therapeutic recreation services for individuals with cognitive disabilities and limitations or illness. It focuses on the etiology, impact, and barriers related to specific conditions. It also studies legislation trends and resources for community recreation integration and the role of transitional programs.",,,
784,YOUTH AND LEISURE,AHSC,422,"Prerequisite: 30 university credits including AHSC 220, 241, 260. This course develops an understanding of the leisure needs of youth from emotional, physical, psychological, and sociological perspectives. Major areas of discussion include leisure preferences and needs assessment, strategies for programming, dealing with youth?at?risk, and recreational opportunities for youth. Lectures and laboratory.",,,
